Id,B_Age,B_Height,B_Weight,B_Name,R_Age,R_Height,R_Weight,R_Name,winby,winner
529,40.0,187.0,112.0,Ruan Potts,33.0,190.0,118.0,Derrick Lewis,KO/TKO,red
530,35.0,177.0,70.0,Gleison Tibau,34.0,180.0,70.0,Tony Ferguson,SUB,red
531,33.0,182.0,70.0,Valmir Lazaro,32.0,187.0,70.0,James Krause,DEC,blue
532,30.0,177.0,65.0,Alex Torres,31.0,177.0,65.0,Masio Fullen,DEC,red
533,34.0,187.0,77.0,Tim Means,29.0,187.0,77.0,Dhiego Lima,KO/TKO,blue
534,34.0,185.0,65.0,Cole Miller,26.0,180.0,65.0,Max Holloway,DEC,red
535,31.0,170.0,56.0,Tim Elliott,35.0,162.0,56.0,Zach Makovsky,DEC,red
536,37.0,170.0,56.0,Chris Kelades,25.0,162.0,56.0,Ray Borg,SUB,red
537,33.0,187.0,77.0,Brandon Thatch,34.0,175.0,77.0,Benson Henderson,SUB,red
538,37.0,177.0,77.0,Kiichi Kunimoto,31.0,190.0,77.0,Neil Magny,SUB,red
539,29.0,180.0,84.0,Patrick Walsh,40.0,182.0,84.0,Daniel Kelly,DEC,red
540,26.0,175.0,70.0,Kevin Lee,37.0,167.0,77.0,Michel Prazeres,DEC,blue
541,27.0,170.0,70.0,Rodrigo de Lima,32.0,175.0,70.0,Efrain Escudero,DEC,red
542,31.0,175.0,65.0,Jim Alers,33.0,180.0,65.0,Chas Skelly,KO/TKO,red
543,34.0,187.0,93.0,Anthony Johnson,31.0,195.0,93.0,Alexander Gustafsson,KO/TKO,blue
544,33.0,187.0,84.0,Gegard Mousasi,48.0,180.0,84.0,Dan Henderson,KO/TKO,blue
545,26.0,180.0,77.0,Albert Tumenov,32.0,182.0,77.0,Nico Musoke,DEC,blue
546,34.0,182.0,77.0,Sultan Aliev,34.0,177.0,77.0,Kenny Robertson,KO/TKO,red
547,35.0,180.0,104.0,Konstantin Erokhin,28.0,190.0,109.0,Viktor Pesta,DEC,red
548,31.0,175.0,70.0,Anthony Christodoulou,30.0,175.0,70.0,Mairbek Taisumov,KO/TKO,red
549,36.0,180.0,93.0,Stanislav Nedkov,26.0,190.0,93.0,Nikita Krylov,SUB,red
550,35.0,187.0,93.0,Ryan Bader,34.0,187.0,93.0,Phil Davis,DEC,blue
551,31.0,175.0,65.0,Paul Redmond,27.0,172.0,65.0,Mirsad Bektic,DEC,red
552,29.0,177.0,65.0,Makwan Amirkhani,29.0,172.0,65.0,Andy Ogle,KO/TKO,blue
553,32.0,172.0,65.0,Sam Sicilia,36.0,172.0,65.0,Akira Corassani,KO/TKO,blue
554,33.0,170.0,61.0,Chris Beal,39.0,162.0,56.0,Neil Seery,DEC,red
555,39.0,190.0,119.0,Frank Mir,28.0,187.0,84.0,Antonio Silva,KO/TKO,blue
556,28.0,185.0,70.0,Josh Shockley,37.0,175.0,70.0,Ivan Jorge,DEC,red
557,27.0,185.0,77.0,Sean Strickland,32.0,182.0,77.0,Santiago Ponzinibbio,DEC,red
558,35.0,177.0,70.0,Adriano Martins,31.0,172.0,70.0,Rustam Khabilov,DEC,blue
559,32.0,177.0,65.0,Michael Johnson,32.0,180.0,70.0,Edson Barboza,DEC,blue
560,38.0,167.0,61.0,Frankie Saenz,38.0,175.0,61.0,Iuri Alcantara,DEC,blue
561,31.0,177.0,61.0,Cody Gibson,33.0,170.0,61.0,Douglas Silva de Andrade,DEC,red
562,41.0,167.0,61.0,Marion Reneau,27.0,157.0,52.0,Jessica Andrade,SUB,blue
563,28.0,193.0,77.0,Matt Dwyer,27.0,180.0,77.0,William Patolino,KO/TKO,blue
564,32.0,180.0,65.0,Mike de la Torre,31.0,175.0,65.0,Tiago Trator,KO/TKO,blue
565,33.0,172.0,77.0,Rafael dos Anjos,31.0,177.0,70.0,Anthony Pettis,DEC,blue
566,38.0,193.0,120.0,Alistair Overeem,42.0,182.0,119.0,Roy Nelson,DEC,blue
567,31.0,162.0,56.0,Henry Cejudo,37.0,160.0,56.0,Chris Cariaso,DEC,blue
568,29.0,165.0,56.0,Ryan Benoit,25.0,167.0,56.0,Sergio Pettis,KO/TKO,blue
569,37.0,182.0,77.0,Matt Brown,35.0,175.0,84.0,Johny Hendricks,DEC,red
570,31.0,167.0,52.0,Joanna Jedrzejczyk,30.0,154.0,52.0,Carla Esparza,KO/TKO,blue
571,34.0,175.0,70.0,Sam Stout,34.0,172.0,70.0,Ross Pearson,KO/TKO,red
572,29.0,177.0,70.0,Beneil Dariush,33.0,172.0,70.0,Daron Cruickshank,SUB,blue
573,35.0,190.0,84.0,Roger Narvaez,30.0,185.0,84.0,Elias Theodorou,KO/TKO,red
574,30.0,177.0,70.0,Joe Duffy,32.0,180.0,70.0,Jake Lindsey,KO/TKO,blue
575,34.0,175.0,61.0,Germaine de Randamie,24.0,170.0,61.0,Larissa Pacheco,KO/TKO,blue
576,33.0,190.0,84.0,Luke Rockhold,40.0,185.0,84.0,Lyoto Machida,SUB,blue
577,24.0,162.0,56.0,Paige VanZant,34.0,162.0,52.0,Felice Herrig,DEC,blue
578,29.0,177.0,70.0,Beneil Dariush,35.0,172.0,70.0,Jim Miller,DEC,blue
579,29.0,170.0,61.0,Aljamain Sterling,34.0,170.0,61.0,Takeya Mizugaki,SUB,blue
580,31.0,177.0,84.0,Chris Dempsey,35.0,182.0,84.0,Eddie Gordon,DEC,blue
581,33.0,190.0,93.0,Gian Villante,29.0,190.0,93.0,Corey Anderson,KO/TKO,blue
582,34.0,187.0,77.0,Tim Means,37.0,182.0,77.0,George Sullivan,SUB,blue
583,31.0,187.0,84.0,Chris Camozzi,38.0,185.0,84.0,Jacare Souza,SUB,red
584,37.0,187.0,93.0,Patrick Cummins,35.0,190.0,93.0,Ovince Saint Preux,KO/TKO,red
585,31.0,175.0,65.0,Jimy Hettes,31.0,170.0,65.0,Diego Brandao,KO/TKO,red
586,26.0,180.0,65.0,Max Holloway,34.0,172.0,65.0,Cub Swanson,SUB,blue
587,27.0,165.0,56.0,Kyoji Horiguchi,32.0,160.0,56.0,Demetrious Johnson,SUB,red
588,35.0,187.0,84.0,CB Dollaway,39.0,185.0,84.0,Michael Bisping,DEC,red
589,36.0,182.0,84.0,Joe Riggs,38.0,180.0,77.0,Patrick Cote,DEC,red
590,29.0,175.0,70.0,David Michaud,29.0,175.0,70.0,Olivier Aubin-Mercier,SUB,red
591,35.0,170.0,56.0,Valerie Letourneau,41.0,170.0,52.0,Jessica Rakoczy,DEC,blue
592,42.0,177.0,77.0,Chris Clements,37.0,185.0,77.0,Nordine Taleb,DEC,red
593,31.0,182.0,70.0,Shane Campbell,33.0,172.0,70.0,John Makdessi,KO/TKO,red
594,29.0,182.0,77.0,Bryan Barberena,32.0,177.0,77.0,Chad Laprise,DEC,red
595,33.0,165.0,61.0,Sarah Kaufman,34.0,167.0,56.0,Alexis Davis,SUB,red
596,30.0,157.0,52.0,Aisling Daly,33.0,162.0,52.0,Randa Markos,DEC,red
597,38.0,185.0,93.0,Fabio Maldonado,40.0,185.0,93.0,Rampage Jackson,DEC,red
